SF|LF|MetaMap CUI|CSI|Ratio in CSI|UMLS CUI|UMLS SOURCE|ADAM|Ratio in ADAM|Dictionary
DJD|OA - Osteoarthritis|C0029408|||C0029408|SNOMEDCT|||
DJD|OA - Osteoarthrosis|C0029408|||C0029408|SNOMEDCT|||
DJD|OS1|C0029408|||C0029408|OMIM|||
DJD|OSTEOARTHRITIS|C0029408|||C0029408|COSTAR;DXP;QMR|||
DJD|OSTEOARTHRITIS OF HIP, FEMALE-SPECIFIC, SUSCEPTIBILITY TO||||C0029408|OMIM|||
DJD|OSTEOARTHRITIS SUSCEPTIBILITY 1|C0029408|||C0029408|OMIM|||
DJD|OSTEOARTHROSIS|C0022408;C0029408|||C0029408|DXP;OMIM|||
DJD|Osteoarthritides|C0029408|||C0029408|MSH|||
DJD|Osteoarthritis|C0029408|||C0029408|CCS;LCH;MEDLINEPLUS;MSH;NCI;NDFRT;OMIM;SNOMEDCT|||
DJD|Osteoarthritis (& [allied disorders])||||C0029408|SNOMEDCT|||
DJD|Osteoarthritis (disorder)||||C0029408|SNOMEDCT|||
DJD|Osteoarthritis NOS|C0029408|||C0029408|SNOMEDCT|||
DJD|Osteoarthritis NOS (disorder)||||C0029408|SNOMEDCT|||
DJD|Osteoarthritis NOS, of unspecified site|C0029408|||C0029408|SNOMEDCT|||
DJD|Osteoarthritis NOS, of unspecified site (disorder)||||C0029408|SNOMEDCT|||
DJD|Osteoarthritis [Disease/Finding]||||C0029408|NDFRT|||
DJD|Osteoarthritis and allied disorders||||C0029408|SNOMEDCT|||
DJD|Osteoarthritis, NOS|C0029408|||C0029408|SNOMEDCT|||
DJD|Osteoarthroses|C0029408|||C0029408|MSH|||
DJD|Osteoarthrosis|C0022408;C0029408|||C0029408|MEDLINEPLUS;MSH;NDFRT;OMIM;SNOMEDCT|||
DJD|Osteoarthrosis, unspecified whether generalized or localized||||C0029408|ICD9CM|||
DJD|[Joint degeneration] or [osteoarthritis NOS]||||C0029408|SNOMEDCT|||
DJD|[Joint degeneration] or [osteoarthritis NOS] (disorder)||||C0029408|SNOMEDCT|||
DJD|a o|C0029408|||C0029408|CHV|||
DJD|arthritis degenerative||||C0029408|CHV|||
DJD|arthritis osteoarthritis|C0029408|||C0029408|CHV|||
DJD|arthrosis|C0022408;C0029408|||C0029408|CHV|||
DJD|arthrosys||||C0029408|CHV|||
DJD|degenerative arthritis|C0029408|||C0029408|AOD;CHV;CSP|||
DJD|degenerative arthropathy|C0029408|||C0029408|CHV|||
DJD|degenerative disease joint|C0029408|||C0029408|CHV|||
DJD|degenerative disease joints|C0029408|||C0029408|CHV|||
DJD|degenerative diseases joint||||C0029408|CHV|||
DJD|degenerative joint disease|C0029408|1|1.000|C0029408|AIR;AOD;CHV;COSTAR;CSP;DXP;MEDLINEPLUS;OMIM;SNOMEDCT|1|1|1
DJD|degenerative osteoarthritis|C0029408|||C0029408|CHV|||
DJD|hypertrophic arthritis|C0029408|||C0029408|CHV;CSP|||
DJD|o a|C0029408|||C0029408|CHV|||
DJD|oa osteoarthritis|C0029408|||C0029408|CHV|||
DJD|oas|C0029408;C0599973|||C0029408|CHV|||
DJD|osteoarthriti||||C0029408|CHV|||
DJD|osteoarthrities||||C0029408|CHV|||
DJD|osteoarthritis|C0029408|||C0029408|AOD;CHV;CSP|||
DJD|osteoarthritis arthritis|C0029408|||C0029408|CHV|||
DJD|osteoarthritis degenerative||||C0029408|CHV|||
DJD|osteoarthrosis|C0022408;C0029408|||C0029408|AOD;CHV|||
DJD|osteoarthrosys||||C0029408|CHV|||
DJD|primary OA|C0029408|||C0029408|AIR|||
DKA|ACIDOSIS DIABETIC||||C0011880|CST|||
DKA|ACIDOSIS, DIABETIC|C0011880|||C0011880|DXP|||
DKA|Acidoses, Diabetic|C0011880|||C0011880|MSH|||
DKA|Acidosis, Diabetic|C0011880|||C0011880|MSH;NDFRT|||
DKA|DIABETIC ACIDOSIS|C0011880|||C0011880|CST|||
DKA|DIABETIC KETOACIDOSIS|C0011880|||C0011880|NCI;QMR|||
DKA|DKA|C0011880|||C0011880|DXP|||
DKA|DKA - Diabetic ketoacidosis||||C0011880|SNOMEDCT|||
DKA|Diabetes Mellitus with Ketoacidosis|C0011880|||C0011880|COSTAR|||
DKA|Diabetes mellitus (& [ketoacidosis])||||C0011880|SNOMEDCT|||
DKA|Diabetes mellitus (& [ketoacidosis]) (disorder)||||C0011880|SNOMEDCT|||
DKA|Diabetes mellitus NOS with ketoacidosis|C0011880|||C0011880|SNOMEDCT|||
DKA|Diabetes mellitus NOS with ketoacidosis (disorder)||||C0011880|SNOMEDCT|||
DKA|Diabetes mellitus with ketoacidosis|C0011880|||C0011880|SNOMEDCT|||
DKA|Diabetes with ketoacidosis|C0011880|||C0011880|ICD9CM;SNOMEDCT|||
DKA|Diabetes with ketoacidosis (disorder)||||C0011880|SNOMEDCT|||
DKA|Diabetic Acidoses|C0011880|||C0011880|MSH|||
DKA|Diabetic Acidosis|C0011880|||C0011880|MSH;NDFRT|||
DKA|Diabetic Ketoacidoses|C0011880|||C0011880|MSH|||
DKA|Diabetic Ketoacidosis|C0011880|||C0011880|MSH;MTH;NCI;NDFRT|||
DKA|Diabetic Ketoacidosis [Disease/Finding]||||C0011880|NDFRT|||
DKA|Diabetic Ketoses|C0011880|||C0011880|MSH|||
DKA|Diabetic Ketosis|C0011880|||C0011880|MSH;NDFRT|||
DKA|Diabetic acidosis|C0011880|||C0011880|SNOMEDCT|||
DKA|Diabetic acidosis without coma|C0011880|||C0011880|SNOMEDCT|||
DKA|Diabetic acidosis, NOS|C0011880|||C0011880|SNOMEDCT|||
DKA|Diabetic ketoacidosis|C0011880|||C0011880|OMIM;SNOMEDCT|||
DKA|Diabetic ketosis without coma|C0011880|||C0011880|SNOMEDCT|||
DKA|KETOACIDOSIS, DIABETIC|C0011880|||C0011880|DXP;NCI|||
DKA|Ketoacidoses, Diabetic|C0011880|||C0011880|MSH|||
DKA|Ketoacidosis - diabetic||||C0011880|SNOMEDCT|||
DKA|Ketoacidosis in diabetes mellitus|C0011880|||C0011880|SNOMEDCT|||
DKA|Ketoacidosis in diabetes mellitus (disorder)||||C0011880|SNOMEDCT|||
DKA|Ketoacidosis, Diabetic|C0011880|||C0011880|MSH;NDFRT|||
DKA|Ketoses, Diabetic|C0011880|||C0011880|MSH|||
DKA|Ketosis, Diabetic|C0011880|||C0011880|MSH;MTH;NDFRT|||
DKA|diabetic acidosis|C0011880|||C0011880|CHV;CSP|||
DKA|diabetic ketoacidoses|C0011880|||C0011880|CHV|||
DKA|diabetic ketoacidosis|C0011880|1|0.998|C0011880|AOD;CHV;CSP;MSH;MTH;NCI;NDFRT;OMIM;QMR;SNOMEDCT|1|1|1
DKA|diabetic ketoses|C0011880|||C0011880|CHV|||
DKA|diabetic ketosis|C0011880|||C0011880|CHV|||
DKA|did keep appointment||||||||1
DLCO|Carbon Monoxide Diffusing Capability Test|C1516251|||C1516251|NCI|||
DLCO|DLCO|C1516251|||C1516251|NCI|||
DLCO|Diffusion Capacity of the Lung for Carbon Monoxide||||C1516251|NCI|||
DLCO|PFT/DLCO||||C1516251|NCI|||
DLCO|Pulmonary Function Test/Carbon Monoxide Diffusing Capability||||C1516251|NCI|||
DLCO|carbon monoxide diffusing capacity|C0199525|||||1|0.2274|
DLCO|carbon monoxide diffusion capacity||||||1|0.0669|
DLCO|diffusing capacity for CO||||||1|0.0569|
DLCO|diffusing capacity for carbon monoxide||||||1|0.2709|
DLCO|diffusing capacity of the lung||||||1|0.0334|
DLCO|diffusing capacity of the lung for carbon monoxide||1|1.000|||1|0.1672|
DLCO|diffusion capacity for carbon monoxide||||||1|0.0936|
DLCO|diffusion capacity of the lung for carbon monoxide||||||1|0.0502|
DLCO|transfer factor|C0040673;C1280474|||||1|0.0334|
DM|(11Beta,16alpha)-9-fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione||||C0011777|NCI;PDQ|||
DM|1-Dehydro-16alpha-methyl-9alpha-fluorohydrocortisone|C0011777|||C0011777|NCI;PDQ|||
DM|16Alpha-methyl-9alpha-fluoro-1,4-pregnadiene-11beta,17alpha,21-triol-3,20-dione||||C0011777|NCI;PDQ|||
DM|16Alpha-methyl-9alpha-fluoro-delta1-hydrocortisone|C0011777|||C0011777|NCI;PDQ|||
DM|16Alpha-methyl-9alpha-fluoroprednisolone||||C0011777|NCI;PDQ|||
DM|9Alpha-fluoro-11beta,17alpha,21-trihydroxy-16alpha-methylpregna-1,4-diene-3,20-dione||||C0011777|NCI;PDQ|||
DM|9Alpha-fluoro-16alpha-methylprednisolone|C0011777|||C0011777|NCI;PDQ|||
DM|9alpha-Fluoro-16alpha- methylprednisolone|C0011777|||C0011777|NCI;PDQ|||
DM|CURSCHMANN-BATTEN-STEINERT SYNDROME|C0027126|||C0027126|DXP|||
DM|Commonwealth of Dominica|C0013013|||C0013013|SNOMEDCT|||
DM|Commonwealth of Dominica (geographic location)||||C0013013|SNOMEDCT|||
DM|DEXAMETHASONE|C0011777|||C0011777|MTHSPL;NCI;NDFRT;VANDF|||
DM|DM||||C0011777;C0013013;C0027126;C1414085;C1512047;C1704791|HUGO;NCI;OMIM;PDQ|||
DM|DM - Dystrophia myotonica|C0027126|||C0027126|SNOMEDCT|||
DM|DM KINASE|C0216045;C1414085|||C1414085|OMIM|||
DM|DM PROTEIN KINASE|C0216045;C1414085|||C1414085|OMIM|||
DM|DM protein kinase|C0216045;C1414085|||C1414085|HUGO|||
DM|DM1||||C1414085|HUGO|||
DM|DM1PK|C1414085|||C1414085|HUGO|||
DM|DMA|C0013013;C0058243;C0301360|||C0013013|NCI|||
DM|DMK|C1414085|||C1414085|HUGO;OMIM|||
DM|DMPK|C1414085|||C1414085|HUGO;OMIM|||
DM|DMPK gene|C1414085|||C1414085|HUGO;LNC;MTH|||
DM|DO||||C0013013|NCI|||
DM|DOMINICA|C0013013|||C0013013|NCI|||
DM|DXM|C0011777;C0011816;C0350422|||C0011777|PDQ|||
DM|DYSTROPHIA MYOTONICA|C0027126|||C0027126|OMIM|||
DM|DYSTROPHIA MYOTONICA PROTEIN KINASE|C1414085|||C1414085|OMIM|||
DM|DYSTROPHY, MYOTONIC|C0027126|||C0027126|DXP|||
DM|Decimeter|C0439199|||C0439199|NCI|||
DM|Defined Medium||||||1|0.0092|
DM|Demographics|C0011292;C0011298;C1704791|||C1704791|NCI|||
DM|Demographics Domain|C1704791|||C1704791|MTH;NCI|||
DM|Desamethasone|C0011777|||C0011777|NCI;PDQ|||
DM|Descemet membrane|C0011665|||||||1
DM|Descemet's membrane|C0011665|||||1|0.0107|
DM|Desmoplastic Melanoma|C1333280|||||1|0.0063|
DM|Deutschmarks||||||1|0.0049|
DM|Dexamethasone|C0011777|||C0011777|LNC;MSH;MTH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT;USPMG|||
DM|Dexamethasone (product)||||C0011777|SNOMEDCT|||
DM|Dexamethasone (substance)||||C0011777|SNOMEDCT|||
DM|Dexamethasone [Chemical/Ingredient]||||C0011777|NDFRT|||
DM|Dexamethasone [endocrine use]||||C0011777|SNOMEDCT|||
DM|Dexamethasone [endocrine use] (product)||||C0011777|SNOMEDCT|||
DM|Dexamethasone [endocrine use] (substance)||||C0011777|SNOMEDCT|||
DM|Dexamethasone preparation|C0011777|||C0011777|SNOMEDCT|||
DM|Dexamethasone preparation (product)||||C0011777|SNOMEDCT|||
DM|Dexamethasone preparation (substance)||||C0011777|SNOMEDCT|||
DM|Dexamethasonum|C0011777|||C0011777|NCI;PDQ|||
DM|Diabetic|C0241863|||||1|0.0292|
DM|Disease management|C0039798;C0376636|||||1|0.0185|
DM|Distant metastasis|C1269798|||||1|0.0209|
DM|Dominica|C0013013|||C0013013|MSH;MTH;NCI;SNOMEDCT|||
DM|Dominica (geographic location)||||C0013013|SNOMEDCT|||
DM|Double Minutes|C1512047|||C1512047|MTH;NCI|||
DM|Drosophila melanogaster|C0013139|||||1|0.018|
DM|Dystrophia Myotonica|C0027126|||C0027126|MSH;NDFRT|||
DM|Dystrophia myotonica|C0027126|||C0027126|MTHICD9;SNOMEDCT|||
DM|Dystrophies, Myotonic|C0027126|||C0027126|MSH|||
DM|Dystrophy, Myotonic|C0027126|||C0027126|MSH|||
DM|Fluoro-9alpha Methyl-16alpha Prednisolone|C0011777|||C0011777|NCI;PDQ|||
DM|HLA-DM||||||1|0.0088|
DM|Hexadecadrol|C0011777|||C0011777|MSH;NCI;NDFRT;PDQ|||
DM|MDPK|C1414085|||C1414085|HUGO|||
DM|MT-PK|C1414085|||C1414085|HUGO|||
DM|MYOTONIA ATROPHICA|C0027126|||C0027126|DXP|||
DM|MYOTONIN-PROTEIN KINASE|C0216045;C1414085|||C1414085|OMIM|||
DM|Methylfluorprednisolone|C0011777|||C0011777|MSH;NCI;NDFRT;PDQ|||
DM|Myotonia Atrophica|C0027126|||C0027126|COSTAR;MSH;NDFRT|||
DM|Myotonia Dystrophica|C0027126|||C0027126|MSH;NDFRT|||
DM|Myotonia atrophica|C0027126|||C0027126|LCH;MTHICD9|||
DM|Myotonia dystrophica|C0027126|||C0027126|SNOMEDCT|||
DM|Myotonic Dystrophies|C0027126|||C0027126|MSH|||
DM|Myotonic Dystrophy|C0027126|||C0027126|COSTAR;MSH;MTH;NCI;NDFRT|||
DM|Myotonic Dystrophy [Disease/Finding]||||C0027126|NDFRT|||
DM|Myotonic dystrophy|C0027126|||C0027126|MTHICD9;SNOMEDCT|1|0.1818|
DM|NATO code for diphenylaminearsine||||||||1
DM|Pregna-1,4-diene-3,20-dione, 9-fluoro-11,17,21-trihydroxy-16-methyl-, (11beta,16alpha)-||||C0011777|MSH;NDFRT|||
DM|STEINERT DIS||||C0027126|MSH|||
DM|STEINERT DISEASE|C0027126|||C0027126|DXP;OMIM|||
DM|STEINERTS DIS||||C0027126|MSH|||
DM|Steinert Disease|C0027126|||C0027126|MSH;NDFRT|||
DM|Steinert disease|C0027126|||C0027126|SNOMEDCT|||
DM|Steinert myotonic dystrophy syndrome|C0027126|||C0027126|SNOMEDCT|||
DM|Steinert myotonic dystrophy syndrome (disorder)||||C0027126|SNOMEDCT|||
DM|Steinert syndrome|C0027126|||C0027126|SNOMEDCT|||
DM|Steinert's Disease|C0027126|||C0027126|MSH;NDFRT|||
DM|Steinert's disease|C0027126|||C0027126|CSP;MTHICD9;SNOMEDCT|||
DM|Type 2 diabetes|C0011860|||||1|0.0097|
DM|adamsite|C0070542|||||||1
DM|daunomycin|C0011015|||C0011015|CHV;MSH;NCI;NDFRT;PDQ|1|0.0224|
DM|daunorubicin|C0011015|||||1|0.0044|
DM|decimeter|C0439199|||C0439199|MTH;NCI;SNOMEDCT|||1
DM|decimeter (qualifier value)||||C0439199|SNOMEDCT|||
DM|decimetre|C0439199|||C0439199|SNOMEDCT|||
DM|decimorgan||||||||1
DM|dehydrated and malnourished||||||||1
DM|deltamethrin|C0057233|||||1|0.0044|
DM|dermatology|C0011627;C1555731|||||||1
DM|dermatomyositis|C0011633;C0221056|||C0011633;C0221056|AOD;CHV;COSTAR;CSP;CST;DXP;ICD9CM;LCH;MEDLINEPLUS;MSH;MTH;NCI;NDFRT;OMIM;SNOMEDCT|||1
DM|dermorphin|C0057492|||||1|0.0049|
DM|dexamethasone|C0011777|||C0011777|AOD;CHV;CSP;LNC;MSH;MTH;MTHSPL;NCI;NDFRT;PDQ;RXNORM;SNOMEDCT;USPMG;VANDF|1|0.0369|
DM|dexamethasone (DMX)||||C0011777|CHV|||
DM|dextromaltose||||||||1
DM|dextromethorphan|C0011816|1|0.572|C0011816|CHV;CSP;LNC;MSH;MTH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT;VANDF|1|0.0739|
DM|diabetes mellitus|C0011849|1|0.418|C0011849|AIR;AOD;CHV;COSTAR;CSP;CST;DXP;ICD9CM;ICPC;LNC;MEDLINEPLUS;MSH;MTH;NCI;NDFRT;OMIM;QMR;SNOMEDCT|||1
DM|diabetic group||||||1|0.0029|
DM|diabetic mother||||||||1
DM|diabetic patients||||||1|0.0044|
DM|diabetic rats||||||1|0.0024|
DM|diastolic murmur|C0232262|||C0232262|CHV;MSH;SNOMEDCT|||1
DM|differentiation medium||||||1|0.0039|
DM|diffuse mixed||||||||1
DM|diffusing capacity of alveolar membrane||||||||1
DM|disease management|C0039798;C0376636|||C0039798;C0376636|CHV;MSH;MTH|||1
DM|disease steinerts||||C0027126|CHV|||
DM|distal metastasis||||||||1
DM|distant metastases||||||1|0.0175|1
DM|distant metastasis|C1269798|||C1269798|NCI;SNOMEDCT|||1
DM|dm||||C0439199|NCI;SNOMEDCT|||
DM|dm (qualifier value)||||C0439199|SNOMEDCT|||
DM|dopamine|C0013030;C0201989|||C0013030;C0201989|AOD;CHV;CSP;FMA;LCH;LNC;MSH;MTH;NCI;NDFRT;PDQ;RXNORM;SNOMEDCT;USPMG;UWDA;VANDF|||1
DM|dorsal medulla||||||1|0.0044|
DM|dorsomedial||||||1|0.0267|1
DM|dorsomedial medulla||||||1|0.0068|
DM|dorsomedial nucleus|C0228329|||||1|0.0063|
DM|dorsomedial nucleus of the intercollicular complex||||||1|0.0024|
DM|dorsomedial visual area||||||1|0.0058|
DM|dose modification|C1707811|||||||1
DM|double membrane||||||||1
DM|double minute||||||||1
DM|double minute chromosomes||||||1|0.0058|
DM|double minutes|C1512047|||C1512047|MTH;NCI|1|0.0146|
DM|double-muscled||||||1|0.0053|
DM|dry mass||||||1|0.0053|
DM|dry matter||||||1|0.2528|1
DM|dry muscle||||||1|0.0034|
DM|duodenal mucosa|C0227284|||C0227284|FMA;MTH;SNOMEDCT;UWDA|||1
DM|dura mater|C0013313|||||1|0.0044|
DM|dystrophia myotonica|C0027126|||C0027126|CHV;MSH;MTHICD9;NDFRT;OMIM;SNOMEDCT|1|0.0063|1
DM|dystrophia myotonica 1|C1414085;C2931688|||C1414085|HUGO|||
DM|dystrophia myotonica-protein kinase|C1414085|||C1414085|HUGO|||
DM|dystrophy myotonic||||C0027126|CHV|||
DM|membrane diffusing capacity||||||1|0.0131|1
DM|method|C0025663;C0449851;C0871511|||||1|0.0044|
DM|myotonia atrophica|C0027126|||C0027126|CHV;CSP|||
DM|myotonia dystrophica|C0027126|||C0027126|CHV|||
DM|myotonic dystrophi||||C0027126|CHV|||
DM|myotonic dystrophy|C0027126|||C0027126|CHV;CSP|||1
DM|myotonic dystrophy associated protein kinase||||C1414085|HUGO|||
DM|myotonin protein kinase A||||C1414085|HUGO|||
DM|patients with dermatomyositis||||||1|0.0146|
DM|patients with diabetes mellitus||||||1|0.1215|
DM|steinert disease|C0027126|||C0027126|CHV|||
DM|steinert syndrome|C0027126|||C0027126|CHV|||
DM|steinert's disease|C0027126|||C0027126|CHV|||
DM|syndrome steinert|C0027126|||C0027126|CHV|||
DM|thymopoietin homolog|C1414085|||C1414085|HUGO|||
DNA|DNA|C0012854|||C0012854;C1325786|AOD;CHV;CSP;FMA;GO;LNC;MSH;MTH;MTHFDA;NCI;NDFRT;SNOMEDCT;UWDA|||
DNA|DNA - Deoxyribonucleic acid|C0012854|||C0012854|SNOMEDCT|||
DNA|DNA [Chemical/Ingredient]||||C0012854|NDFRT|||
DNA|DNA location|C1325786|||C1325786|GO;MTH|||
DNA|DNA molecule|C0012854|||C0012854|FMA;UWDA|||
DNA|Deoxyribonucleic Acid|C0012854|||C0012854|MSH;NCI;NDFRT|||
DNA|Deoxyribonucleic acid|C0012854|||C0012854|FMA;LCH;NCI;SNOMEDCT;UWDA|||
DNA|Deoxyribonucleic acid (substance)||||C0012854|SNOMEDCT|||
DNA|Deoxyribonucleic acid, NOS|C0012854|||C0012854|SNOMEDCT|||
DNA|Deoxyribonucleic acids|C0012854|||C0012854|MSH;NDFRT|||
DNA|deoxyribonucleic acid|C0012854|1|1.000|C0012854|AOD;CHV;CSP;FMA;LCH;LNC;MSH;NCI;NDFRT;SNOMEDCT;UWDA|1|1|1
DNA|deoxyribonucleic acid (DNA)|C0012854|||C0012854|CHV|||
DNA|deoxyribonucleic acids|C0012854|||C0012854|CHV|||
DNA|did not answer||||||||1
DNA|did not attend||||||||1
DNA|dna molecule|C0012854|||C0012854|CHV|||
DNA|dna molecules|C0012854|||C0012854|CHV|||
DNA|do not administer||||||||1
DNA|does not apply||||||||1
DNI|do not intubate||1|1.000|||||1
DNR|(8S-cis)-8-Acetyl-10-[(3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-5,12-naphthacenedione||||C0011015|NCI;PDQ|||
DNR|5,12-Naphthacenedione, 8-acetyl-10-((3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-, (8S-cis)-||||C0011015|MSH;NDFRT|||
DNR|5,12-Naphthacenedione, 8-acetyl-10-[(3-amino-2,3,6-trideoxy-.alpha.-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-, (8S-cis)-||||C0011015|NCI|||
DNR|DAUNOMYCIN|C0011015|||C0011015|NCI|||
DNR|DAUNORUBICIN|C0011015|||C0011015|MTHSPL;NCI;NDFRT;VANDF|||
DNR|DAUNOrubicin|C0011015|||C0011015|RXNORM|||
DNR|DNAR - Do not attempt resuscitation||||C0582114|SNOMEDCT|||
DNR|DNM|C0011015|||C0011015|PDQ|||
DNR|DNR|C0011015;C0582114|||C0011015;C0582114|NCI;PDQ;SNOMEDCT|||
DNR|DNR - Do not resuscitate|C0582114|||C0582114|MTH|||
DNR|DRB||||C0011015|PDQ|||
DNR|Dauno Rubidomycine|C0011015|||C0011015|MSH|||
DNR|Dauno-Rubidomycine|C0011015|||C0011015|MSH;NDFRT;PDQ|||
DNR|Daunomycin|C0011015|||C0011015|MSH;NCI;NDFRT|||
DNR|Daunorrubicina|C0011015|||C0011015|NCI|||
DNR|Daunorubicin|C0011015|||C0011015|MSH;MTH;NCI;NDFRT;RXNORM;SNOMEDCT|||
DNR|Daunorubicin (product)||||C0011015|SNOMEDCT|||
DNR|Daunorubicin (substance)||||C0011015|SNOMEDCT|||
DNR|Daunorubicin [Chemical/Ingredient]||||C0011015|NDFRT|||
DNR|Department of Natural Resources||1|0.006|||||
DNR|Do not resuscitate|C0582114|||C0582114|SNOMEDCT|||
DNR|L-lyxo-Hexopyranoside, 3.beta.-acetyl-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-10-metldioxo-1a-naphthacenyl 3-amino-2,3,6-trideoxy-,.alpha.-||||C0011015|NCI|||
DNR|Leukaemomycin C|C0011015|||C0011015|NCI|||
DNR|Not for attempted cardiopulmonary resuscitation|C0582114|||C0582114|SNOMEDCT|||
DNR|Not for resuscitation|C0582114|||C0582114|SNOMEDCT|||
DNR|Not for resuscitation (finding)||||C0582114|SNOMEDCT|||
DNR|RUBOMYCIN C|C0011015|||C0011015|NCI|||
DNR|Rubidomycin|C0011015|||C0011015|MSH;NCI;NDFRT;PDQ|||
DNR|Rubomycin|C0011015|||C0011015|MSH;NDFRT|||
DNR|Rubomycin C|C0011015|||C0011015|NCI;PDQ|||
DNR|daunomycin|C0011015|||C0011015|CHV;NCI;PDQ|1|0.0155|
DNR|daunorubicin|C0011015|||C0011015|CHV;CSP;MSH;MTH;MTHSPL;NCI;NDFRT;PDQ;RXNORM;SNOMEDCT;VANDF|1|0.5994|
DNR|did not respond||||||||1
DNR|dnm|C0011015|||C0011015|CHV|||
DNR|do not report||||||||1
DNR|do not resuscitate|C0582114|1|0.994|C0582114;C1547313|HL7V2.5;SNOMEDCT|||1
DNR|do-not-resuscitate|C0582114|||||1|0.2764|
DNR|do-not-resuscitate order|C0079252|||C0079252|MSH|||
DNR|dorsal nerve root||||||||1
DNR|dose nonuniformity ratio||||||||1
DNR|drb||||C0011015|CHV|||
DNR|not resuscitate||||||1|0.1086|
DNR|rubidomycin|C0011015|||C0011015|CHV|||
DNR|rubomycin|C0011015|||C0011015|CHV|||
DOB|BD||||C0421451|NCI|||
DOB|BRTHDAT|C0421451|||C0421451|NCI|||
DOB|Birth Date|C0421451;C0803906|||C0421451|NCI|||
DOB|Birth date|C0421451;C0803906|||C0421451|LNC|||
DOB|Bromdimethoxyamphetamine|C0301362|||C0301362|MTH;SNOMEDCT|||
DOB|Bromdimethoxyamphetamine (substance)||||C0301362|SNOMEDCT|||
DOB|DOB|C0301362;C0421451|||C0301362;C0421451|NCI;SNOMEDCT|||
DOB|DOB - Date of birth|C0421451|||C0421451|SNOMEDCT|||
DOB|Date of Birth|C0421451|||C0421451|NCI|||
DOB|Date of birth|C0421451|||C0421451|SNOMEDCT|||
DOB|Date of birth (finding)||||C0421451|SNOMEDCT|||
DOB|Date of birth (observable entity)||||C0421451|SNOMEDCT|||
DOB|Date of birth of person cared for||||C0421451|SNOMEDCT|||
DOB|Date of birth of recipient of care|C0421451|||C0421451|SNOMEDCT|||
DOB|Date of birth of recipient of care (observable entity)||||C0421451|SNOMEDCT|||
DOB|Dobrava hantavirus||||||||1
DOB|Dobutamine|C0012963|||||1|1|
DOB|Patient date of birth|C0421451|||C0421451|MTH;SNOMEDCT|||
DOB|birth date|C0421451;C0803906|||C0421451|CHV|||
DOB|birth date of||||C0421451|CHV|||
DOB|birthDate|C0421451;C0803906|||C0421451|NCI|||
DOB|births date|C0421451|||C0421451|CHV|||
DOB|dangle out of bed||||||||1
DOB|date of birth|C0421451|1|0.998|C0421451|CHV;NCI;SNOMEDCT|||1
DOB|delta over baseline||||||||1
DOB|distal occlusal buccal|C0447334|||||||1
DOB|doctor's order book||||||||1
DOL|day of life||1|1.000|||||1
DOL|dolorimetric unit||||||||1
DP|2,2',2'',2''''-[(4,8-Dipiperidinopyrimido-[5,4-d]pyrimidine-2,6-diyl)dinitrilo]tetraethanol||||C0012582|NCI;PDQ|||
DP|CD4+CD8+|C0483191|||||1|0.0176|
DP|CD4+CD8+ double-positive||||||1|0.0451|
DP|D-penicillamine|C0030817|||||1|0.0588|
DP|D.P.|C1512024|||C1512024|NCI|||
DP|D.P.M.|C1512024|||C1512024|NCI|||
DP|DIPYRIDAMOLE|C0012582|||C0012582|MTHSPL;NCI;NDFRT;VANDF|||
DP|DOCKING PROTEIN|C1420414;C1760028|||C1420414|OMIM|||
DP|DP||||C0012582;C1419059;C1420414;C1512024|HUGO;NCI;OMIM;PDQ|||
DP|DP1|C1327771;C1384538;C1419059|||C1419059|OMIM|||
DP|DPM|C1512024;C1634619|||C1512024|NCI|||
DP|Dermatophagoides Pteronyssinus|C0446330;C1122992|||||1|0.0078|
DP|Dermatophagoides pteronyssinus|C0446330;C1122992|||||1|0.094|1
DP|Dipyramidole|C0012582|||C0012582|MSH;NDFRT|||
DP|Dipyridamole|C0012582|||C0012582|LNC;MSH;MTH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT;USPMG|||
DP|Dipyridamole (product)||||C0012582|SNOMEDCT|||
DP|Dipyridamole (substance)||||C0012582|SNOMEDCT|||
DP|Dipyridamole [Chemical/Ingredient]||||C0012582|NDFRT|||
DP|Doctor of Podiatric Medicine|C1512024|||C1512024|MTH;NCI|||
DP|Ethanol, 2,2',2'',2'''-((4,8-di-1-piperidinylpyrimido(5,4-d)pyrimidine-2,6-diyl)dinitrilo)tetrakis-||||C0012582|MSH;NDFRT|||
DP|PROSTAGLANDIN D2 RECEPTOR|C0072269;C1419059|||C1419059|OMIM|||
DP|PROSTANOID DP RECEPTOR|C1419059|||C1419059|OMIM|||
DP|PTGDR|C1419059|||C1419059|HUGO;OMIM|||
